code,fy,eps,bps,roe,debt,op_margin,net_margin,op_profit,revenue,dps
086790,202512,14110.0,164776.0,9.17,1377.89,7.76,5.85,53509.0,689436.0,4105.0
035420,202312,6180.0,154077.0,4.41,47.45,15.39,10.19,14888.0,96706.0,1205.0
035420,202412,11913.0,170953.0,7.9,41.36,18.43,17.99,19793.0,107377.0,1130.0
035420,202512,12376.0,184396.0,7.36,41.9,18.35,15.11,22081.0,120350.0,2630.0
066570,202312,3942.0,109209.0,3.69,156.36,4.44,1.4,36533.0,822627.0,800.0
066570,202412,2032.0,116595.0,1.81,160.31,3.9,0.67,34197.0,877282.0,1000.0
066570,202512,5321.0,132659.0,4.28,140.33,2.78,1.37,24784.0,892009.0,1350.0
010120,202312,1373.0,11669.0,12.61,116.52,7.68,4.91,3249.0,42305.0,560.0
010120,202412,1591.0,12382.0,13.44,137.3,8.56,5.32,3897.0,45518.0,580.0
010120,202512,1911.0,13920.0,14.67,131.48,8.59,5.72,4264.0,49658.0,600.0
000810,202312,35961.0,379073.0,12.73,426.62,11.32,8.75,23573.0,208247.0,16000.0
000810,202412,41007.0,366202.0,13.11,459.34,11.69,9.17,26496.0,226570.0,19000.0
000810,202512,40703.0,500071.0,10.97,352.98,10.73,8.15,26591.0,247785.0,19500.0
298040,202312,12438.0,116016.0,11.29,288.94,6.0,3.07,2578.0,43006.0,2500.0
298040,202412,23876.0,204958.0,14.9,202.53,7.41,4.55,3625.0,48950.0,5000.0
298040,202512,55755.0,252555.0,24.41,190.31,12.52,8.43,7470.0,59685.0,7500.0
267260,202312,7189.0,29121.0,27.71,175.31,11.66,9.6,3152.0,27028.0,1000.0
267260,202412,13914.0,41725.0,39.34,151.78,20.14,15.0,6690.0,33223.0,5350.0
267260,202512,20324.0,56366.0,41.5,134.63,24.4,17.94,9953.0,40795.0,7100.0
010130,202312,26127.0,451351.0,5.72,24.93,6.8,5.5,6599.0,97045.0,15000.0
010130,202412,9190.0,403756.0,2.28,94.75,6.0,1.62,7235.0,120529.0,17500.0
010130,202512,38514.0,536342.0,8.48,82.36,7.43,4.64,12319.0,165879.0,20000.0
042660,202312,757.0,14061.0,6.33,223.38,-2.65,2.16,-1965.0,74083.0,
042660,202412,1724.0,15857.0,11.52,266.9,2.21,4.9,2379.0,107760.0,
042660,202512,4066.0,20138.0,22.59,226.17,9.13,9.75,11676.0,127835.0,
005490,202312,20079.0,714069.0,3.18,69.19,4.58,2.39,35314.0,771272.0,10000.0
005490,202412,13073.0,732527.0,2.0,68.27,2.99,1.3,21736.0,726881.0,10000.0
005490,202512,8085.0,736969.0,1.18,68.64,2.64,0.73,18271.0,690949.0,10000.0
009540,202312,3133.0,140052.0,2.26,160.65,1.32,0.68,2823.0,212962.0,
009540,202412,16565.0,156961.0,11.16,159.39,5.62,5.7,14341.0,255386.0,5100.0
009540,202512,30639.0,187883.0,17.78,133.86,13.04,9.78,39045.0,299332.0,12300.0
316140,202312,3389.0,42116.0,8.29,1391.14,8.33,6.26,34990.0,419863.0,1000.0
316140,202412,4144.0,45919.0,9.38,1364.69,9.13,6.8,42552.0,466167.0,1200.0
316140,202512,4221.0,49068.0,8.91,1488.67,8.85,7.77,36748.0,415484.0,1360.0
017670,202312,4997.0,53625.0,9.63,146.31,9.96,6.51,17532.0,176085.0,3540.0
017670,202412,5810.0,54952.0,10.83,158.0,10.16,7.73,18234.0,179406.0,3540.0
017670,202512,1901.0,60395.0,3.33,132.4,6.28,2.19,10732.0,170992.0,1660.0
042700,202312,2745.0,5907.0,55.54,26.57,21.74,168.02,346.0,1590.0,420.0
042700,202412,1573.0,5698.0,27.43,31.43,45.69,27.3,2554.0,5589.0,720.0
042700,202512,2233.0,7278.0,34.76,17.82,43.59,37.11,2514.0,5767.0,800.0
015760,202312,-7512.0,55837.0,-12.63,543.28,-5.15,-5.35,-45416.0,882195.0,
015760,202412,5439.0,62177.0,9.22,496.69,8.96,3.88,83647.0,933989.0,213.0
015760,202512,13311.0,75035.0,19.4,416.85,13.85,8.89,134906.0,974293.0,1542.0
011200,202312,1829.0,31115.0,4.59,19.93,6.96,11.53,5848.0,84010.0,700.0
011200,202412,5055.0,31615.0,15.35,21.52,30.02,32.32,35128.0,117002.0,600.0
011200,202512,1955.0,28168.0,6.9,26.31,13.42,17.25,14612.0,108914.0,700.0
000150,202312,-18133.0,91241.0,-22.74,152.41,7.51,1.42,14363.0,191301.0,2000.0
000150,202412,-10562.0,83153.0,-14.57,153.53,5.54,1.67,10038.0,181329.0,2000.0
000150,202512,3546.0,87399.0,4.99,169.14,5.37,1.26,10627.0,197841.0,4000.0
096770,202312,2624.0,230169.0,1.22,169.27,2.46,0.72,19039.0,772885.0,
096770,202412,-21236.0,165656.0,-9.65,178.77,0.48,-3.19,3557.0,742696.0,2000.0
096770,202512,-21056.0,129848.0,-14.42,190.2,0.56,-6.77,4487.0,802961.0,
006800,202312,421.0,18191.0,2.92,1037.75,2.56,1.64,5210.0,203566.0,149.0
006800,202412,1221.0,20505.0,7.94,1018.56,5.34,4.16,11881.0,222423.0,248.0
006800,202512,2154.0,22705.0,12.36,1015.01,6.54,5.41,19151.0,292830.0,298.0
051910,202312,17090.0,411275.0,4.2,89.23,4.58,3.72,25292.0,552498.0,3500.0
051910,202412,-8825.0,425221.0,-2.11,95.56,1.8,1.06,8749.0,486998.0,1000.0
051910,202512,-23242.0,419617.0,-5.5,114.54,2.57,-2.13,11809.0,459322.0,2000.0
018260,202312,8962.0,111933.0,8.21,37.27,6.09,5.28,8082.0,132768.0,2700.0
018260,202412,9783.0,120661.0,8.42,36.4,6.59,5.71,9111.0,138282.0,2900.0
018260,202512,9816.0,128198.0,7.89,31.09,6.87,5.62,9571.0,139299.0,3190.0
010140,202312,-168.0,4027.0,-4.22,357.39,2.91,-1.94,2333.0,80094.0,
010140,202412,73.0,4443.0,1.77,358.59,5.08,0.54,5027.0,99031.0,
010140,202512,620.0,4857.0,13.73,265.05,8.1,5.03,8622.0,106500.0,
033780,202312,6615.0,81326.0,9.76,37.41,19.91,15.73,11673.0,58626.0,5200.0
033780,202412,8975.0,85662.0,12.66,48.8,20.12,19.72,11888.0,59088.0,5400.0
033780,202512,8973.0,89409.0,11.77,51.98,20.42,16.75,13437.0,65797.0,6000.0
003550,202312,7867.0,167498.0,4.89,11.98,21.34,19.0,15890.0,74453.0,3100.0
003550,202412,3585.0,175634.0,2.16,12.46,13.47,11.02,9668.0,71755.0,3100.0
003550,202512,4628.0,186173.0,2.64,12.03,12.58,13.79,9122.0,72525.0,3100.0
278470,202312,2249.0,5414.0,54.87,45.88,19.89,15.57,1042.0,5238.0,
278470,202412,2842.0,8687.0,41.34,74.68,16.98,14.89,1227.0,7228.0,
278470,202512,7704.0,11910.0,75.3,73.11,23.93,18.96,3655.0,15273.0,5090.0
267250,202312,3348.0,103689.0,3.57,192.63,3.31,1.28,20316.0,613313.0,3700.0
267250,202412,6444.0,122761.0,6.36,179.96,4.4,2.85,29832.0,677656.0,3600.0
267250,202512,12187.0,143153.0,10.25,159.39,8.56,5.16,60996.0,712594.0,4000.0
010950,202312,8137.0,77629.0,10.83,138.74,3.79,2.66,13546.0,357267.0,1700.0
