code,name,cap,price,per,pbr,eps,bps,div,cns_per,roe,debt,op_margin,op_growth,fy
278470,에이피알,17277700000000.0,434500.0,40.04,26.66,11527.0,17309.0,1.1,29.44,75.3,73.11,23.93,1.9788101059494703,202512
267250,HD현대,17220500000000.0,216000.0,6.3,1.26,34618.0,173040.0,1.84,4.38,10.25,159.39,8.56,1.0446500402252616,202512
010950,S-Oil,16797400000000.0,136700.0,11.42,1.72,13069.0,86631.0,0.22,5.98,2.01,198.82,0.69,-0.4419706300331596,202512
024110,기업은행,16626300000000.0,20500.0,6.27,0.45,3325.0,46146.0,5.03,5.95,7.7,1258.51,12.51,0.01711137697893772,202512
003670,포스코퓨처엠,16570700000000.0,184000.0,368.18,3.95,506.0,47212.0,0.13,576.78,0.92,102.65,1.12,45.857142857142854,202512
035720,카카오,16323900000000.0,36000.0,47.06,1.38,783.0,26659.0,0.2,27.92,4.59,82.49,9.04,0.4778921865536039,202512
079550,LIG디펜스앤에어로스페이스,16148000000000.0,745000.0,56.37,10.05,13022.0,73022.0,0.4,44.85,19.2,446.35,7.42,0.4297224709042078,202512
086280,현대글로비스,15375000000000.0,203500.0,9.98,1.41,20548.0,145224.0,2.83,9.24,18.13,78.92,7.01,0.18261167208625717,202512
064350,현대로템,15181700000000.0,138600.0,18.8,4.46,7400.0,31211.0,0.43,16.96,30.05,206.39,17.22,1.2023653088042048,202512
011070,LG이노텍,14460600000000.0,597000.0,21.81,2.27,28019.0,269205.0,0.31,15.49,6.14,107.02,3.04,-0.058073654390934815,202512
000720,현대건설,14353800000000.0,129300.0,32.29,1.56,3992.0,82483.0,0.62,28.19,4.58,174.81,2.1,nan,202512
272210,한화시스템,14320100000000.0,77900.0,77.03,3.15,984.0,24026.0,0.66,102.85,6.6,106.5,3.27,-0.4532603739170087,202512
030200,KT,13735200000000.0,53900.0,10.6,0.7,5141.0,77912.0,4.4,9.54,10.22,120.72,8.74,2.050154416306362,202512
047810,한국항공우주,12973900000000.0,137600.0,73.17,6.83,1819.0,19491.0,0.38,53.78,10.51,446.57,7.28,0.11840465309513926,202512
005830,DB손해보험,12274800000000.0,184000.0,8.27,0.98,22663.0,190944.0,4.06,nan,17.75,576.91,10.34,-0.016866674914429503,202512
078930,GS,12002100000000.0,123200.0,5.24,0.75,24679.0,173176.0,2.32,4.86,5.55,86.04,11.66,-0.04585337319641236,202512
003230,삼양식품,11653600000000.0,1480000.0,23.9,7.61,64729.0,203212.0,0.31,20.6,37.59,72.74,22.29,0.5211839814277424,202512
307950,현대오토에버,11408400000000.0,413500.0,59.8,6.03,6957.0,68995.0,0.46,53.62,10.27,92.31,6.0,0.13770053475935828,202512
071050,한국금융지주,10660400000000.0,191400.0,4.76,0.88,40219.0,218546.0,4.54,3.83,18.66,1025.35,12.05,0.9549053930149205,202512
003490,대한항공,10567900000000.0,28200.0,nan,1.01,-693.0,28464.0,2.61,31.57,7.28,339.88,4.42,-0.47227750924083023,202512
323410,카카오뱅크,10425100000000.0,21600.0,19.67,1.57,1111.0,13899.0,2.11,17.27,7.23,1032.02,21.04,0.07002801120448177,202512
259960,크래프톤,10178900000000.0,219500.0,12.57,1.34,17700.0,165959.0,1.01,11.05,10.6,31.31,31.7,-0.1083298097251586,202512
443060,HD현대마린솔루션,9908200000000.0,221000.0,29.63,11.11,7459.0,19898.0,1.79,28.12,33.73,54.27,17.66,0.28855355171144637,202512
005940,NH투자증권,9839300000000.0,26600.0,7.48,1.0,3565.0,26593.0,4.88,5.9,11.76,783.5,10.37,0.5765175896126955,202512
