dt,open,high,low,close,volume
2017-11-21 00:00:00+09:00,10050.0,10080.0,10020.0,10045.0,1065113.0
2017-11-22 00:00:00+09:00,10090.0,10145.0,10080.0,10105.0,1085828.0
2017-11-23 00:00:00+09:00,10120.0,10120.0,10060.0,10075.0,844473.0
2017-11-24 00:00:00+09:00,10075.0,10100.0,10050.0,10100.0,1187356.0
2017-11-27 00:00:00+09:00,10100.0,10105.0,9915.0,9925.0,1580152.0
2017-11-28 00:00:00+09:00,9920.0,9970.0,9895.0,9940.0,2813229.0
2017-11-29 00:00:00+09:00,9975.0,10000.0,9940.0,9960.0,1235645.0
2017-11-30 00:00:00+09:00,9885.0,9915.0,9790.0,9800.0,1141143.0
2017-12-01 00:00:00+09:00,9820.0,9830.0,9770.0,9790.0,878667.0
2017-12-04 00:00:00+09:00,9820.0,9870.0,9785.0,9865.0,1826078.0
2017-12-05 00:00:00+09:00,9865.0,9935.0,9865.0,9910.0,405507.0
2017-12-06 00:00:00+09:00,9910.0,9910.0,9780.0,9780.0,841054.0
2017-12-07 00:00:00+09:00,9785.0,9795.0,9710.0,9750.0,1263169.0
2017-12-08 00:00:00+09:00,9780.0,9805.0,9745.0,9785.0,868271.0
2017-12-11 00:00:00+09:00,9795.0,9800.0,9745.0,9790.0,970536.0
2017-12-12 00:00:00+09:00,9770.0,9775.0,9735.0,9750.0,967740.0
2017-12-13 00:00:00+09:00,9750.0,9835.0,9735.0,9820.0,1360808.0
2017-12-14 00:00:00+09:00,9855.0,9970.0,9835.0,9890.0,1665512.0
2017-12-15 00:00:00+09:00,9880.0,9890.0,9800.0,9820.0,2614309.0
2017-12-18 00:00:00+09:00,9825.0,9850.0,9810.0,9830.0,1762448.0
2017-12-19 00:00:00+09:00,9885.0,9910.0,9810.0,9835.0,1496604.0
2017-12-20 00:00:00+09:00,9820.0,9855.0,9810.0,9815.0,1511012.0
2017-12-21 00:00:00+09:00,9800.0,9800.0,9635.0,9635.0,2482439.0
2017-12-22 00:00:00+09:00,9645.0,9695.0,9625.0,9685.0,1881811.0
