dt,open,high,low,close,volume
2023-07-18 00:00:00+09:00,2770.0,2785.0,2730.0,2770.0,33598.0
2023-07-19 00:00:00+09:00,2780.0,2815.0,2750.0,2810.0,18753.0
2023-07-20 00:00:00+09:00,2820.0,2820.0,2770.0,2775.0,12796.0
2023-07-21 00:00:00+09:00,2775.0,2775.0,2700.0,2735.0,36220.0
2023-07-24 00:00:00+09:00,2720.0,2735.0,2665.0,2730.0,40332.0
2023-07-25 00:00:00+09:00,2730.0,3545.0,2680.0,3545.0,3815498.0
2023-07-26 00:00:00+09:00,4350.0,4605.0,4345.0,4605.0,3835639.0
2023-07-27 00:00:00+09:00,5060.0,5980.0,5060.0,5980.0,14689196.0
2023-07-28 00:00:00+09:00,6300.0,7710.0,6020.0,6500.0,23121625.0
2023-07-31 00:00:00+09:00,6600.0,7490.0,6450.0,6720.0,5462731.0
2023-08-01 00:00:00+09:00,6720.0,6760.0,6100.0,6300.0,2288304.0
2023-08-02 00:00:00+09:00,5930.0,8090.0,5930.0,7500.0,15589609.0
2023-08-03 00:00:00+09:00,7750.0,9380.0,7030.0,7900.0,11925006.0
2023-08-04 00:00:00+09:00,6990.0,7400.0,6050.0,6320.0,4660897.0
2023-08-07 00:00:00+09:00,6500.0,7650.0,6480.0,6860.0,5214180.0
2023-08-08 00:00:00+09:00,7120.0,7600.0,6370.0,6540.0,4179178.0
2023-08-09 00:00:00+09:00,6640.0,7090.0,6480.0,6630.0,3041026.0
2023-08-10 00:00:00+09:00,6790.0,6800.0,6430.0,6560.0,1132695.0
2023-08-11 00:00:00+09:00,6590.0,6630.0,6180.0,6550.0,924492.0
2023-08-14 00:00:00+09:00,6650.0,7480.0,6330.0,6850.0,5551918.0
2023-08-16 00:00:00+09:00,6890.0,8290.0,6690.0,7790.0,8801674.0
2023-08-17 00:00:00+09:00,7250.0,7260.0,5460.0,5560.0,3006712.0
2023-08-18 00:00:00+09:00,5550.0,5550.0,4685.0,4935.0,1919770.0
2023-08-21 00:00:00+09:00,4985.0,5100.0,4690.0,4910.0,947386.0
2023-08-22 00:00:00+09:00,4995.0,5240.0,4750.0,5220.0,1149004.0
2023-08-23 00:00:00+09:00,5240.0,5240.0,4850.0,4900.0,923306.0
2023-08-24 00:00:00+09:00,4820.0,4985.0,4820.0,4850.0,434018.0
2023-08-25 00:00:00+09:00,4855.0,5470.0,4850.0,5020.0,2349153.0
2023-08-28 00:00:00+09:00,5010.0,5030.0,4700.0,4900.0,634919.0
2023-08-29 00:00:00+09:00,4900.0,5180.0,4710.0,4830.0,837498.0
2023-08-30 00:00:00+09:00,4830.0,4870.0,4725.0,4725.0,425104.0
2023-08-31 00:00:00+09:00,4750.0,4915.0,4600.0,4720.0,654135.0
2023-09-01 00:00:00+09:00,4720.0,4725.0,4465.0,4570.0,402556.0
2023-09-04 00:00:00+09:00,4520.0,4550.0,4380.0,4400.0,379270.0
2023-09-05 00:00:00+09:00,4400.0,4555.0,4330.0,4395.0,455127.0
2023-09-06 00:00:00+09:00,4400.0,4415.0,4290.0,4310.0,275955.0
2023-09-07 00:00:00+09:00,4310.0,4310.0,4160.0,4170.0,392421.0
2023-09-08 00:00:00+09:00,4120.0,4170.0,4045.0,4130.0,332009.0
2023-09-11 00:00:00+09:00,4135.0,4155.0,3980.0,4065.0,252368.0
2023-09-12 00:00:00+09:00,4055.0,4130.0,3920.0,3975.0,300849.0
2023-09-13 00:00:00+09:00,3980.0,4090.0,3905.0,3970.0,207119.0
2023-09-14 00:00:00+09:00,3965.0,4200.0,3950.0,4040.0,375042.0
2023-09-15 00:00:00+09:00,4000.0,4120.0,3985.0,3995.0,176173.0
2023-09-18 00:00:00+09:00,3885.0,4015.0,3860.0,3950.0,192475.0
2023-09-19 00:00:00+09:00,4030.0,4030.0,3805.0,3850.0,170367.0
2023-09-20 00:00:00+09:00,3850.0,3995.0,3820.0,3930.0,144302.0
2023-09-21 00:00:00+09:00,3905.0,4060.0,3805.0,3850.0,201532.0
2023-09-22 00:00:00+09:00,3815.0,3950.0,3770.0,3920.0,104370.0
2023-09-25 00:00:00+09:00,3885.0,3920.0,3690.0,3715.0,193376.0
2023-09-26 00:00:00+09:00,3735.0,3785.0,3625.0,3710.0,159692.0
2023-09-27 00:00:00+09:00,3655.0,3800.0,3650.0,3800.0,118349.0
2023-10-04 00:00:00+09:00,3720.0,3800.0,3380.0,3590.0,202689.0
2023-10-05 00:00:00+09:00,3590.0,3620.0,3475.0,3495.0,122468.0
2023-10-06 00:00:00+09:00,3490.0,3665.0,3485.0,3665.0,122298.0
2023-10-10 00:00:00+09:00,3700.0,3700.0,3425.0,3465.0,133004.0
2023-10-11 00:00:00+09:00,3465.0,3650.0,3465.0,3615.0,80520.0
2023-10-12 00:00:00+09:00,3615.0,3840.0,3590.0,3745.0,294038.0
2023-10-13 00:00:00+09:00,3745.0,4865.0,3710.0,4865.0,7676194.0
2023-10-16 00:00:00+09:00,5040.0,6320.0,5040.0,6320.0,18774946.0
2023-10-17 00:00:00+09:00,6770.0,7370.0,6000.0,6320.0,14142962.0
2023-10-18 00:00:00+09:00,6250.0,6310.0,5550.0,5670.0,4759518.0
2023-10-19 00:00:00+09:00,5800.0,6370.0,5070.0,5110.0,8462964.0
2023-10-20 00:00:00+09:00,5050.0,5590.0,4730.0,5270.0,7536624.0
2023-10-23 00:00:00+09:00,5100.0,5900.0,5010.0,5230.0,7802754.0
2023-10-24 00:00:00+09:00,5060.0,5310.0,4800.0,5170.0,1957395.0
2023-10-25 00:00:00+09:00,5110.0,5220.0,4805.0,4840.0,946316.0
2023-10-26 00:00:00+09:00,4750.0,5010.0,4650.0,4730.0,937965.0
2023-10-27 00:00:00+09:00,4720.0,4800.0,4495.0,4595.0,934899.0
2023-10-30 00:00:00+09:00,4740.0,4740.0,4270.0,4555.0,877014.0
2023-10-31 00:00:00+09:00,4595.0,4845.0,4385.0,4415.0,650413.0
2023-11-01 00:00:00+09:00,4500.0,4945.0,4490.0,4580.0,1402643.0
2023-11-02 00:00:00+09:00,4600.0,4725.0,4465.0,4650.0,569864.0
2023-11-03 00:00:00+09:00,4665.0,4670.0,4325.0,4535.0,656646.0
2023-11-06 00:00:00+09:00,4570.0,4660.0,4410.0,4510.0,712953.0
2023-11-07 00:00:00+09:00,4550.0,4555.0,4230.0,4270.0,480613.0
2023-11-08 00:00:00+09:00,4300.0,4435.0,4090.0,4110.0,354982.0
2023-11-09 00:00:00+09:00,4115.0,4170.0,4015.0,4060.0,176704.0
2023-11-10 00:00:00+09:00,4085.0,4085.0,3885.0,3945.0,224627.0
2023-11-13 00:00:00+09:00,4010.0,4020.0,3870.0,3960.0,242575.0
2023-11-14 00:00:00+09:00,3920.0,4090.0,3920.0,3995.0,279470.0
2023-11-15 00:00:00+09:00,4005.0,4155.0,4005.0,4145.0,271144.0
2023-11-16 00:00:00+09:00,4165.0,4175.0,4050.0,4135.0,134437.0
2023-11-17 00:00:00+09:00,4110.0,4135.0,3935.0,3960.0,184606.0
2023-11-20 00:00:00+09:00,3910.0,4085.0,3910.0,4045.0,132542.0
2023-11-21 00:00:00+09:00,4045.0,4085.0,3975.0,4040.0,93573.0
2023-11-22 00:00:00+09:00,4045.0,4145.0,3950.0,4080.0,269692.0
2023-11-23 00:00:00+09:00,4135.0,4250.0,4075.0,4250.0,517560.0
2023-11-24 00:00:00+09:00,4320.0,4370.0,4105.0,4210.0,1036725.0
2023-11-27 00:00:00+09:00,4225.0,4860.0,4170.0,4375.0,5327027.0
2023-11-28 00:00:00+09:00,4680.0,5100.0,4575.0,4755.0,7850533.0
2023-11-29 00:00:00+09:00,4685.0,4755.0,4515.0,4575.0,1071532.0
2023-11-30 00:00:00+09:00,4550.0,5390.0,4460.0,5010.0,9888060.0
2023-12-01 00:00:00+09:00,4900.0,5160.0,4700.0,4720.0,2452473.0
2023-12-04 00:00:00+09:00,4895.0,5100.0,4780.0,4825.0,1360891.0
2023-12-05 00:00:00+09:00,4735.0,4780.0,4520.0,4595.0,684152.0
2023-12-06 00:00:00+09:00,4795.0,5150.0,4565.0,4925.0,4333761.0
2023-12-07 00:00:00+09:00,4925.0,5080.0,4700.0,4720.0,1615662.0
2023-12-08 00:00:00+09:00,4740.0,4740.0,4570.0,4600.0,526642.0
2023-12-11 00:00:00+09:00,4545.0,4980.0,4545.0,4690.0,1928762.0
2023-12-12 00:00:00+09:00,4705.0,4960.0,4480.0,4595.0,1920170.0
2023-12-13 00:00:00+09:00,4660.0,4660.0,4365.0,4400.0,642566.0
2023-12-14 00:00:00+09:00,4460.0,4490.0,4160.0,4205.0,684194.0
2023-12-15 00:00:00+09:00,4230.0,4290.0,4150.0,4200.0,343839.0
2023-12-18 00:00:00+09:00,4225.0,4420.0,4205.0,4305.0,591614.0
2023-12-19 00:00:00+09:00,4285.0,4285.0,4155.0,4195.0,344547.0
2023-12-20 00:00:00+09:00,4195.0,4215.0,4155.0,4165.0,285937.0
2023-12-21 00:00:00+09:00,4220.0,4925.0,4210.0,4585.0,7745319.0
2023-12-22 00:00:00+09:00,4500.0,4515.0,4330.0,4350.0,819643.0
2023-12-26 00:00:00+09:00,4455.0,4495.0,4210.0,4210.0,443303.0
2023-12-27 00:00:00+09:00,4200.0,4330.0,4130.0,4265.0,265955.0
2023-12-28 00:00:00+09:00,4260.0,4290.0,4170.0,4255.0,196249.0
2024-01-02 00:00:00+09:00,4290.0,4320.0,4220.0,4265.0,149246.0
2024-01-03 00:00:00+09:00,4265.0,4265.0,4150.0,4215.0,229557.0
2024-01-04 00:00:00+09:00,4250.0,4320.0,4135.0,4180.0,274139.0
2024-01-05 00:00:00+09:00,4190.0,4210.0,4130.0,4180.0,156136.0
2024-01-08 00:00:00+09:00,4210.0,4450.0,4180.0,4355.0,628409.0
2024-01-09 00:00:00+09:00,4360.0,4410.0,4240.0,4360.0,323668.0
2024-01-10 00:00:00+09:00,4335.0,4360.0,4250.0,4250.0,133328.0
2024-01-11 00:00:00+09:00,4250.0,4290.0,4220.0,4245.0,115912.0
2024-01-12 00:00:00+09:00,4265.0,4265.0,4155.0,4200.0,142439.0
2024-01-15 00:00:00+09:00,4200.0,4225.0,4130.0,4175.0,124259.0
2024-01-16 00:00:00+09:00,4170.0,4195.0,4045.0,4090.0,201183.0
2024-01-17 00:00:00+09:00,4090.0,4090.0,3930.0,3940.0,178246.0
2024-01-18 00:00:00+09:00,3940.0,4075.0,3940.0,3985.0,83890.0
2024-01-19 00:00:00+09:00,4045.0,5180.0,4045.0,4975.0,22627908.0
2024-01-22 00:00:00+09:00,4800.0,5780.0,4750.0,5200.0,17809884.0
2024-01-23 00:00:00+09:00,5090.0,6550.0,4925.0,6040.0,44612205.0
2024-01-24 00:00:00+09:00,6470.0,7090.0,5240.0,5320.0,28309434.0
2024-01-25 00:00:00+09:00,5320.0,5330.0,4925.0,4945.0,4079298.0
2024-01-26 00:00:00+09:00,4875.0,5120.0,4715.0,4720.0,6092719.0
2024-01-29 00:00:00+09:00,4670.0,4740.0,4505.0,4520.0,2583958.0
2024-01-30 00:00:00+09:00,4655.0,4770.0,4510.0,4510.0,2909137.0
2024-01-31 00:00:00+09:00,4465.0,4495.0,4245.0,4270.0,1408713.0
2024-02-01 00:00:00+09:00,4195.0,4305.0,4125.0,4250.0,897677.0
2024-02-02 00:00:00+09:00,4265.0,4530.0,4265.0,4500.0,1228506.0
2024-02-05 00:00:00+09:00,4500.0,4675.0,4415.0,4455.0,1005463.0
2024-02-06 00:00:00+09:00,4410.0,4445.0,4250.0,4355.0,600691.0
2024-02-07 00:00:00+09:00,4360.0,4430.0,4330.0,4335.0,471593.0
2024-02-08 00:00:00+09:00,4360.0,4365.0,4205.0,4205.0,626844.0
2024-02-13 00:00:00+09:00,4210.0,4400.0,4150.0,4340.0,546321.0
2024-02-14 00:00:00+09:00,4275.0,4300.0,4195.0,4285.0,373616.0
2024-02-15 00:00:00+09:00,4285.0,4425.0,4270.0,4305.0,752333.0
2024-02-16 00:00:00+09:00,4405.0,4410.0,4285.0,4355.0,432674.0
2024-02-19 00:00:00+09:00,4360.0,4500.0,4340.0,4370.0,574608.0
2024-02-20 00:00:00+09:00,4370.0,4410.0,4300.0,4410.0,399825.0
2024-02-21 00:00:00+09:00,4410.0,4420.0,4320.0,4380.0,503389.0
2024-02-22 00:00:00+09:00,4360.0,4390.0,4270.0,4275.0,379411.0
2024-02-23 00:00:00+09:00,4225.0,4310.0,4165.0,4190.0,281310.0
2024-02-26 00:00:00+09:00,4155.0,4210.0,4125.0,4140.0,231172.0
2024-02-27 00:00:00+09:00,4140.0,4240.0,4100.0,4210.0,304348.0
2024-02-28 00:00:00+09:00,4215.0,4270.0,4155.0,4165.0,172976.0
2024-02-29 00:00:00+09:00,4230.0,4230.0,4105.0,4150.0,277360.0
2024-03-04 00:00:00+09:00,4145.0,4210.0,4120.0,4120.0,258444.0
2024-03-05 00:00:00+09:00,4115.0,4165.0,4045.0,4055.0,302625.0
2024-03-06 00:00:00+09:00,4050.0,4125.0,4020.0,4100.0,233133.0
2024-03-07 00:00:00+09:00,4105.0,4105.0,4005.0,4010.0,229499.0
2024-03-08 00:00:00+09:00,4025.0,4090.0,4005.0,4055.0,164830.0
