dt,open,high,low,close,volume
2023-07-18 00:00:00+09:00,5230.0,5290.0,5050.0,5130.0,81940.0
2023-07-19 00:00:00+09:00,5140.0,5140.0,4770.0,4910.0,322795.0
2023-07-20 00:00:00+09:00,4900.0,4900.0,4800.0,4840.0,80950.0
2023-07-21 00:00:00+09:00,4800.0,4960.0,4770.0,4820.0,74815.0
2023-07-24 00:00:00+09:00,4820.0,4820.0,4570.0,4680.0,164025.0
2023-07-25 00:00:00+09:00,4660.0,4680.0,4360.0,4470.0,212330.0
2023-07-26 00:00:00+09:00,4400.0,4470.0,4060.0,4250.0,146705.0
2023-07-27 00:00:00+09:00,4240.0,4550.0,4240.0,4480.0,133225.0
2023-07-28 00:00:00+09:00,4480.0,4590.0,4350.0,4580.0,45455.0
2023-07-31 00:00:00+09:00,4590.0,4680.0,4550.0,4640.0,69465.0
2023-08-01 00:00:00+09:00,4630.0,4680.0,4570.0,4640.0,48545.0
2023-08-02 00:00:00+09:00,4640.0,4820.0,4570.0,4750.0,266165.0
2023-08-03 00:00:00+09:00,4750.0,4750.0,4490.0,4650.0,130545.0
2023-08-04 00:00:00+09:00,4650.0,4820.0,4620.0,4770.0,128345.0
2023-08-07 00:00:00+09:00,4770.0,4870.0,4650.0,4770.0,159270.0
2023-08-08 00:00:00+09:00,4810.0,4820.0,4530.0,4620.0,124810.0
2023-08-09 00:00:00+09:00,4610.0,4720.0,4510.0,4720.0,127175.0
2023-08-10 00:00:00+09:00,5500.0,6130.0,5260.0,6130.0,2980720.0
2023-08-11 00:00:00+09:00,7360.0,7890.0,6640.0,6780.0,13867675.0
2023-08-14 00:00:00+09:00,6920.0,7650.0,6600.0,6830.0,5690650.0
2023-08-16 00:00:00+09:00,6830.0,6880.0,6280.0,6580.0,2054725.0
2023-08-17 00:00:00+09:00,6400.0,6420.0,6010.0,6180.0,1177920.0
2023-08-18 00:00:00+09:00,6420.0,7600.0,6190.0,6380.0,8225280.0
2023-08-21 00:00:00+09:00,6200.0,6330.0,5900.0,6230.0,1205475.0
2023-08-22 00:00:00+09:00,6670.0,6720.0,6080.0,6150.0,1366615.0
2023-08-23 00:00:00+09:00,6030.0,6390.0,6030.0,6310.0,759880.0
2023-08-24 00:00:00+09:00,6200.0,6400.0,6030.0,6360.0,788170.0
2023-08-25 00:00:00+09:00,6310.0,6550.0,6250.0,6380.0,779745.0
2023-08-28 00:00:00+09:00,6740.0,6800.0,6230.0,6290.0,1300215.0
2023-08-29 00:00:00+09:00,6360.0,6470.0,6240.0,6360.0,504910.0
2023-08-30 00:00:00+09:00,6360.0,7000.0,6250.0,6480.0,2506960.0
2023-08-31 00:00:00+09:00,6420.0,6500.0,6280.0,6500.0,742780.0
2023-09-01 00:00:00+09:00,6470.0,6510.0,6370.0,6440.0,458290.0
2023-09-04 00:00:00+09:00,6430.0,6430.0,6090.0,6180.0,362490.0
2023-09-05 00:00:00+09:00,6120.0,6250.0,6110.0,6230.0,211940.0
