dt,open,high,low,close,volume
2023-07-18 00:00:00+09:00,32550.0,32750.0,31900.0,32500.0,1176094.0
2023-07-19 00:00:00+09:00,32400.0,32950.0,32100.0,32450.0,643391.0
2023-07-20 00:00:00+09:00,32250.0,32600.0,32000.0,32300.0,583097.0
2023-07-21 00:00:00+09:00,32450.0,33800.0,32100.0,33450.0,2188527.0
2023-07-24 00:00:00+09:00,33500.0,33500.0,32200.0,33200.0,1094438.0
2023-07-25 00:00:00+09:00,33200.0,33650.0,32400.0,33300.0,1044444.0
2023-07-26 00:00:00+09:00,33300.0,33500.0,32350.0,32600.0,1165814.0
2023-07-27 00:00:00+09:00,32600.0,34500.0,31550.0,33800.0,2860673.0
2023-07-28 00:00:00+09:00,32700.0,35850.0,32550.0,35750.0,2250836.0
2023-07-31 00:00:00+09:00,35950.0,37250.0,35800.0,37000.0,1970462.0
2023-08-01 00:00:00+09:00,36900.0,37100.0,36150.0,36800.0,842774.0
2023-08-02 00:00:00+09:00,36500.0,37800.0,36450.0,36900.0,1195811.0
2023-08-03 00:00:00+09:00,36850.0,37250.0,35550.0,36400.0,979179.0
2023-08-04 00:00:00+09:00,36700.0,36750.0,35500.0,35800.0,940064.0
2023-08-07 00:00:00+09:00,35400.0,36150.0,35300.0,35650.0,519723.0
2023-08-08 00:00:00+09:00,36050.0,36550.0,35500.0,36250.0,618607.0
2023-08-09 00:00:00+09:00,36300.0,36350.0,35450.0,35900.0,553158.0
2023-08-10 00:00:00+09:00,35750.0,37500.0,35500.0,37200.0,1240823.0
2023-08-11 00:00:00+09:00,37500.0,37600.0,36400.0,37200.0,899064.0
2023-08-14 00:00:00+09:00,37000.0,37650.0,36750.0,37300.0,668627.0
2023-08-16 00:00:00+09:00,36950.0,37300.0,36100.0,36350.0,774682.0
2023-08-17 00:00:00+09:00,35950.0,36650.0,35500.0,36400.0,725530.0
2023-08-18 00:00:00+09:00,36000.0,36350.0,35150.0,35500.0,752750.0
2023-08-21 00:00:00+09:00,35400.0,35750.0,34750.0,35000.0,604384.0
2023-08-22 00:00:00+09:00,34900.0,35700.0,34650.0,35550.0,691632.0
2023-08-23 00:00:00+09:00,35350.0,36450.0,35150.0,35850.0,1069051.0
2023-08-24 00:00:00+09:00,35800.0,36350.0,35700.0,36000.0,577921.0
2023-08-25 00:00:00+09:00,35600.0,35650.0,33000.0,33150.0,1402009.0
2023-08-28 00:00:00+09:00,33700.0,35100.0,33600.0,34650.0,800342.0
2023-08-29 00:00:00+09:00,35000.0,35300.0,34550.0,34950.0,587862.0
2023-08-30 00:00:00+09:00,35250.0,35950.0,35150.0,35350.0,600044.0
2023-08-31 00:00:00+09:00,35150.0,35250.0,33650.0,34000.0,2492008.0
2023-09-01 00:00:00+09:00,34000.0,34650.0,33150.0,33250.0,931718.0
2023-09-04 00:00:00+09:00,33150.0,33550.0,33000.0,33450.0,475327.0
2023-09-05 00:00:00+09:00,33200.0,33300.0,32550.0,33000.0,502619.0
