dt,open,high,low,close,volume
2023-07-18 00:00:00+09:00,5470.0,5590.0,5420.0,5510.0,329824.0
2023-07-19 00:00:00+09:00,5510.0,5610.0,5440.0,5570.0,296140.0
2023-07-20 00:00:00+09:00,5590.0,5740.0,5540.0,5620.0,272854.0
2023-07-21 00:00:00+09:00,5590.0,5740.0,5510.0,5690.0,314641.0
2023-07-24 00:00:00+09:00,5700.0,5710.0,5440.0,5690.0,385679.0
2023-07-25 00:00:00+09:00,5630.0,5700.0,5360.0,5680.0,444378.0
2023-07-26 00:00:00+09:00,5630.0,5700.0,5400.0,5420.0,354856.0
2023-07-27 00:00:00+09:00,5410.0,5780.0,5400.0,5670.0,422556.0
2023-07-28 00:00:00+09:00,5610.0,5690.0,5520.0,5660.0,178165.0
2023-07-31 00:00:00+09:00,5690.0,5830.0,5620.0,5800.0,318751.0
2023-08-01 00:00:00+09:00,5800.0,5860.0,5680.0,5700.0,192708.0
2023-08-02 00:00:00+09:00,5730.0,5870.0,5640.0,5850.0,315901.0
2023-08-03 00:00:00+09:00,5790.0,6460.0,5790.0,5970.0,2562613.0
2023-08-04 00:00:00+09:00,6020.0,6070.0,5590.0,5710.0,605105.0
2023-08-07 00:00:00+09:00,5790.0,6100.0,5750.0,5790.0,837096.0
2023-08-08 00:00:00+09:00,5800.0,5840.0,5360.0,5440.0,534114.0
2023-08-09 00:00:00+09:00,5430.0,5680.0,5360.0,5670.0,212133.0
2023-08-10 00:00:00+09:00,5590.0,5920.0,5570.0,5660.0,183367.0
2023-08-11 00:00:00+09:00,5680.0,5700.0,5520.0,5630.0,128859.0
2023-08-14 00:00:00+09:00,5630.0,5670.0,5460.0,5500.0,113959.0
2023-08-16 00:00:00+09:00,5480.0,5480.0,5160.0,5200.0,202259.0
2023-08-17 00:00:00+09:00,5120.0,5250.0,5090.0,5180.0,139895.0
2023-08-18 00:00:00+09:00,5120.0,5220.0,5020.0,5100.0,133494.0
2023-08-21 00:00:00+09:00,5110.0,5290.0,5110.0,5200.0,99293.0
2023-08-22 00:00:00+09:00,5270.0,5270.0,5150.0,5200.0,58513.0
2023-08-23 00:00:00+09:00,5220.0,5290.0,4965.0,5010.0,224585.0
2023-08-24 00:00:00+09:00,4985.0,5030.0,4950.0,4965.0,103957.0
2023-08-25 00:00:00+09:00,4910.0,5030.0,4910.0,4965.0,70203.0
2023-08-28 00:00:00+09:00,5080.0,5120.0,4980.0,5040.0,62277.0
