dt,open,high,low,close,volume
2023-07-18 00:00:00+09:00,5670.0,5675.0,5575.0,5600.0,38098.0
2023-07-19 00:00:00+09:00,5600.0,5610.0,5505.0,5520.0,47312.0
2023-07-20 00:00:00+09:00,5630.0,5630.0,5485.0,5485.0,37402.0
2023-07-21 00:00:00+09:00,5485.0,5575.0,5485.0,5515.0,18680.0
2023-07-24 00:00:00+09:00,5490.0,5760.0,5280.0,5345.0,134908.0
2023-07-25 00:00:00+09:00,5305.0,5320.0,5050.0,5050.0,115006.0
2023-07-26 00:00:00+09:00,5100.0,5120.0,4750.0,4810.0,232242.0
2023-07-27 00:00:00+09:00,4705.0,5090.0,4705.0,4985.0,106748.0
2023-07-28 00:00:00+09:00,4885.0,5285.0,4885.0,5220.0,72596.0
2023-07-31 00:00:00+09:00,5190.0,5225.0,5120.0,5170.0,42494.0
2023-08-01 00:00:00+09:00,5170.0,5325.0,5170.0,5245.0,53206.0
2023-08-02 00:00:00+09:00,5190.0,5300.0,5075.0,5170.0,68562.0
2023-08-03 00:00:00+09:00,5085.0,5210.0,4985.0,5095.0,140640.0
2023-08-04 00:00:00+09:00,5240.0,5340.0,5075.0,5250.0,50314.0
2023-08-07 00:00:00+09:00,5250.0,5315.0,5200.0,5235.0,46604.0
2023-08-08 00:00:00+09:00,5235.0,5310.0,5075.0,5075.0,45104.0
2023-08-09 00:00:00+09:00,5170.0,5200.0,5065.0,5125.0,31436.0
2023-08-10 00:00:00+09:00,5300.0,5700.0,5260.0,5550.0,388192.0
2023-08-11 00:00:00+09:00,5650.0,5840.0,5570.0,5745.0,206394.0
2023-08-14 00:00:00+09:00,5840.0,5840.0,5635.0,5685.0,91726.0
2023-08-16 00:00:00+09:00,5635.0,5670.0,5380.0,5600.0,72832.0
2023-08-17 00:00:00+09:00,5510.0,5590.0,5375.0,5375.0,66638.0
2023-08-18 00:00:00+09:00,5380.0,5685.0,5370.0,5400.0,86724.0
2023-08-21 00:00:00+09:00,5460.0,5535.0,5345.0,5375.0,38652.0
2023-08-22 00:00:00+09:00,5500.0,5655.0,5350.0,5350.0,66078.0
2023-08-23 00:00:00+09:00,5445.0,5445.0,5320.0,5350.0,34456.0
2023-08-24 00:00:00+09:00,5315.0,5410.0,5305.0,5355.0,25208.0
2023-08-25 00:00:00+09:00,5355.0,5460.0,5350.0,5360.0,27698.0
2023-08-28 00:00:00+09:00,5400.0,5565.0,5400.0,5505.0,33492.0
2023-08-29 00:00:00+09:00,5505.0,5570.0,5400.0,5460.0,64550.0
2023-08-30 00:00:00+09:00,5450.0,5620.0,5415.0,5475.0,52928.0
2023-08-31 00:00:00+09:00,5500.0,5525.0,5425.0,5430.0,24652.0
2023-09-01 00:00:00+09:00,5485.0,5485.0,5300.0,5310.0,43696.0
2023-09-04 00:00:00+09:00,5300.0,5360.0,5190.0,5270.0,28914.0
2023-09-05 00:00:00+09:00,5235.0,5325.0,5215.0,5255.0,21324.0
2023-09-06 00:00:00+09:00,5310.0,5310.0,5220.0,5220.0,22708.0
2023-09-07 00:00:00+09:00,5295.0,5295.0,5125.0,5125.0,55842.0
2023-09-08 00:00:00+09:00,5130.0,5220.0,5110.0,5145.0,14072.0
2023-09-11 00:00:00+09:00,5165.0,5220.0,5145.0,5190.0,16736.0
2023-09-12 00:00:00+09:00,5190.0,5285.0,5175.0,5185.0,18954.0
2023-09-13 00:00:00+09:00,5130.0,5190.0,5115.0,5180.0,25754.0
2023-09-14 00:00:00+09:00,5140.0,5215.0,5140.0,5165.0,10044.0
2023-09-15 00:00:00+09:00,5215.0,5260.0,5165.0,5165.0,23984.0
2023-09-18 00:00:00+09:00,5190.0,5260.0,5135.0,5250.0,31310.0
2023-09-19 00:00:00+09:00,5240.0,5315.0,5150.0,5165.0,17484.0
2023-09-20 00:00:00+09:00,5200.0,5200.0,5110.0,5150.0,16518.0
2023-09-21 00:00:00+09:00,5150.0,5150.0,5050.0,5095.0,36482.0
2023-09-22 00:00:00+09:00,5045.0,5080.0,5005.0,5025.0,21178.0
2023-09-25 00:00:00+09:00,4980.0,5030.0,4960.0,4970.0,29402.0
2023-09-26 00:00:00+09:00,4995.0,4995.0,4930.0,4935.0,21926.0
2023-09-27 00:00:00+09:00,4910.0,4965.0,4855.0,4925.0,24694.0
2023-10-04 00:00:00+09:00,4885.0,4920.0,4845.0,4850.0,27302.0
2023-10-05 00:00:00+09:00,4805.0,4875.0,4800.0,4805.0,29472.0
2023-10-06 00:00:00+09:00,4745.0,4855.0,4745.0,4790.0,18366.0
2023-10-10 00:00:00+09:00,4890.0,4890.0,4760.0,4765.0,33140.0
2023-10-11 00:00:00+09:00,4750.0,4915.0,4750.0,4845.0,42208.0
2023-10-12 00:00:00+09:00,4845.0,4900.0,4835.0,4850.0,19350.0
2023-10-13 00:00:00+09:00,4850.0,4905.0,4820.0,4880.0,22522.0
2023-10-16 00:00:00+09:00,4805.0,4880.0,4805.0,4805.0,13672.0
2023-10-17 00:00:00+09:00,4815.0,4890.0,4815.0,4835.0,11504.0
2023-10-18 00:00:00+09:00,4815.0,4895.0,4805.0,4860.0,12734.0
2023-10-19 00:00:00+09:00,4855.0,4855.0,4695.0,4720.0,44526.0
2023-10-20 00:00:00+09:00,4625.0,4710.0,4570.0,4635.0,66804.0
2023-10-23 00:00:00+09:00,4600.0,4675.0,4600.0,4645.0,13796.0
2023-10-24 00:00:00+09:00,4650.0,4765.0,4510.0,4760.0,28140.0
2023-10-25 00:00:00+09:00,4760.0,4915.0,4760.0,4865.0,45788.0
2023-10-26 00:00:00+09:00,4850.0,4875.0,4755.0,4820.0,24902.0
2023-10-27 00:00:00+09:00,4820.0,4850.0,4725.0,4810.0,19744.0
2023-10-30 00:00:00+09:00,4700.0,4805.0,4685.0,4695.0,32744.0
2023-10-31 00:00:00+09:00,4695.0,4825.0,4670.0,4670.0,23084.0
2023-11-01 00:00:00+09:00,4680.0,4745.0,4645.0,4745.0,34978.0
2023-11-02 00:00:00+09:00,4785.0,4870.0,4700.0,4810.0,22046.0
2023-11-03 00:00:00+09:00,4775.0,4875.0,4750.0,4845.0,38218.0
2023-11-06 00:00:00+09:00,5045.0,5045.0,4800.0,4915.0,65976.0
2023-11-07 00:00:00+09:00,4875.0,4940.0,4850.0,4930.0,33294.0
2023-11-08 00:00:00+09:00,4945.0,5025.0,4915.0,4960.0,53138.0
2023-11-09 00:00:00+09:00,4960.0,4995.0,4855.0,4900.0,10894.0
2023-11-10 00:00:00+09:00,4950.0,4950.0,4750.0,4815.0,31498.0
2023-11-13 00:00:00+09:00,4820.0,4885.0,4695.0,4695.0,34424.0
2023-11-14 00:00:00+09:00,4685.0,4820.0,4685.0,4795.0,11386.0
2023-11-15 00:00:00+09:00,4835.0,4855.0,4800.0,4850.0,25180.0
2023-11-16 00:00:00+09:00,4850.0,4940.0,4840.0,4940.0,19580.0
